sclint-dbenv,sclint-dbid,sclint-runid,sclint-schema-name,sclint-table-name,sclint-table-fullname,sclint-table-remarks,sclint-table-type,sclint-column-short-name,sclint-column-name,sclint-column-fullname,sclint-column-ordinal-position,sclint-column-remarks,sclint-column-default-value,sclint-column-size,sclint-column-type-typename,sclint-column-type-fullname,sclint-column-type-name,sclint-column-type-java-sqltype-group
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.id,id,public.databasechangelog.id,1,,,255,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.author,author,public.databasechangelog.author,2,,,255,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.filename,filename,public.databasechangelog.filename,3,,,255,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.dateexecuted,dateexecuted,public.databasechangelog.dateexecuted,4,,,29,timestamp,timestamp,timestamp,TIMESTAMP,temporal
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.orderexecuted,orderexecuted,public.databasechangelog.orderexecuted,5,,,10,int4,int4,int4,INTEGER,integer
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.exectype,exectype,public.databasechangelog.exectype,6,,,10,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.md5sum,md5sum,public.databasechangelog.md5sum,7,,,35,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.description,description,public.databasechangelog.description,8,,,255,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.comments,comments,public.databasechangelog.comments,9,,,255,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.tag,tag,public.databasechangelog.tag,10,,,255,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.liquibase,liquibase,public.databasechangelog.liquibase,11,,,20,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.contexts,contexts,public.databasechangelog.contexts,12,,,255,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.labels,labels,public.databasechangelog.labels,13,,,255,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangelog,public.databasechangelog,,table,databasechangelog.deployment_id,deployment_id,public.databasechangelog.deployment_id,14,,,10,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangeloglock,public.databasechangeloglock,,table,databasechangeloglock.id,id,public.databasechangeloglock.id,1,,,10,int4,int4,int4,INTEGER,integer
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangeloglock,public.databasechangeloglock,,table,databasechangeloglock.locked,locked,public.databasechangeloglock.locked,2,,,1,bool,bool,bool,BIT,bit
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangeloglock,public.databasechangeloglock,,table,databasechangeloglock.lockgranted,lockgranted,public.databasechangeloglock.lockgranted,3,,,29,timestamp,timestamp,timestamp,TIMESTAMP,temporal
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,databasechangeloglock,public.databasechangeloglock,,table,databasechangeloglock.lockedby,lockedby,public.databasechangeloglock.lockedby,4,,,255,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,demo_gdpr,public.demo_gdpr,A demo purpose table,table,demo_gdpr.name,name,public.demo_gdpr.name,1,a gdpr test,,20,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,test_xml,public.test_xml,table for lint LinterXmlContentTest,table,test_xml.id,id,public.test_xml.id,1,primary key,,10,int4,int4,int4,INTEGER,integer
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,test_xml,public.test_xml,table for lint LinterXmlContentTest,table,test_xml.content,content,public.test_xml.content,2,column with non xml data,,100,varchar,varchar,varchar,VARCHAR,character
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,public,test_xml,public.test_xml,table for lint LinterXmlContentTest,table,test_xml.content_xml,content_xml,public.test_xml.content_xml,3,column with xml,,2147483647,xml,xml,xml,SQLXML,xml
