hell,big,03e9251a-99af-456b-a772-bfceaf09c602,304b9125-7dd7-46ef-b471-352b6bdbaea3,schemacrawler.tools.linter.LinterColumnTypes,MEDIUM,catalog,column with same name but different data types,"id [int4, varchar]"
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,d93f22ec-5e9e-42dd-9dc7-30b1ee7640c4,schemacrawler.tools.linter.LinterTableWithNoPrimaryKey,HIGH,public.databasechangelog,no primary key,
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,f4df68f6-e051-412d-9378-fcade7ef3dff,schemacrawler.tools.linter.LinterTableWithNoSurrogatePrimaryKey,HIGH,public.databasechangelog,primary key may not be a surrogate,
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,a387fff1-0f91-4a61-b997-d8e2e65fe2c2,schemacrawler.tools.linter.LinterTableWithNoIndexes,MEDIUM,public.databasechangelog,no indexes,
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,0bfadf9a-26dc-46e6-b2d0-c78d6e7570d7,schemacrawler.tools.linter.LinterTableWithQuotedNames,MEDIUM,public.databasechangelog,"spaces in name, or reserved word",comments
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,4ff0e9c5-ae09-4785-bb63-509c22c7d496,schemacrawler.tools.linter.LinterTableWithNoRemarks,LOW,public.databasechangelog,should have remarks,
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,b83436b0-a515-4362-b15f-acfdbe6df9fe,schemacrawler.tools.linter.LinterTableWithNoRemarks,LOW,public.databasechangelog,should have remarks,"id, author, filename, dateexecuted, orderexecuted, exectype, md5sum, description, comments, tag, liquibase, contexts, labels, deployment_id"
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,42906e0f-4f28-4258-805c-5f3d4ab5d338,schemacrawler.tools.linter.LinterTableWithQuotedNames,MEDIUM,public.databasechangeloglock,"spaces in name, or reserved word",locked
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,d939ed22-411b-4432-91dd-f06ccde4a1a3,schemacrawler.tools.linter.LinterTableWithNoRemarks,LOW,public.databasechangeloglock,should have remarks,
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,4bdd084b-d218-46f9-a14d-27cfae767135,schemacrawler.tools.linter.LinterTableWithNoRemarks,LOW,public.databasechangeloglock,should have remarks,"id, locked, lockgranted, lockedby"
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,69638684-1f7a-4bbe-8f35-cedfbff59e74,schemacrawler.tools.linter.LinterTableWithNoPrimaryKey,HIGH,public.test_xml,no primary key,
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,480fa5a6-d420-4f2b-9de3-ba561f9b837e,schemacrawler.tools.linter.LinterTableWithNoSurrogatePrimaryKey,HIGH,public.test_xml,primary key may not be a surrogate,
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,300d1c3d-a454-4a6f-90a5-6a49623e9da8,schemacrawler.tools.linter.LinterTableWithNoIndexes,MEDIUM,public.test_xml,no indexes,
hell,big,03e9251a-99af-456b-a772-bfceaf09c602,5bf15568-888d-4960-8bad-98c6c70f5962,schemacrawler.tools.linter.LinterTableWithQuotedNames,MEDIUM,public.test_xml,"spaces in name, or reserved word",content
