"sclint-dbenv,sclint-dbid,sclint-runid",sclint-hitid,sclint-linterId,sclint-severity,sclint-objectName,sclint-message,sclint-value
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,b2dd178d-ded3-4fe4-a5b2-0908c8f04443,schemacrawler.tools.linter.LinterColumnTypes,MEDIUM,catalog,column with same name but different data types,"id [int4, varchar]"
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,5fb6b867-17f5-4393-8f52-6abd9e012063,schemacrawler.tools.linter.LinterTableWithNoPrimaryKey,HIGH,public.databasechangelog,no primary key,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,b7d88788-2285-416c-bb07-9feeb2d8142d,schemacrawler.tools.linter.LinterTableWithNoSurrogatePrimaryKey,HIGH,public.databasechangelog,primary key may not be a surrogate,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,8a53f674-2134-47e5-8b1a-7f6249034b7d,schemacrawler.tools.linter.LinterTableWithNoIndexes,MEDIUM,public.databasechangelog,no indexes,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,ed3fba1e-9376-4fe0-a386-50511aea3de3,schemacrawler.tools.linter.LinterTableWithQuotedNames,MEDIUM,public.databasechangelog,"spaces in name, or reserved word",comments
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,bcd67404-4f44-4d4f-b6a6-dcf8b5051e28,schemacrawler.tools.linter.LinterTableWithNoRemarks,LOW,public.databasechangelog,should have remarks,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,7a3d8451-6510-4c96-b934-55ce01c0fb5d,schemacrawler.tools.linter.LinterTableWithNoRemarks,LOW,public.databasechangelog,should have remarks,"id, author, filename, dateexecuted, orderexecuted, exectype, md5sum, description, comments, tag, liquibase, contexts, labels, deployment_id"
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,8a4c80ea-6b37-46aa-987e-df6fb4cd3571,schemacrawler.tools.linter.LinterTableWithQuotedNames,MEDIUM,public.databasechangeloglock,"spaces in name, or reserved word",locked
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,e7c05ab8-ccd0-4248-b30f-ddf110c62381,schemacrawler.tools.linter.LinterTableWithNoRemarks,LOW,public.databasechangeloglock,should have remarks,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,194b3e84-6ac8-435d-8b1f-c4bb447d1f1d,schemacrawler.tools.linter.LinterTableWithNoRemarks,LOW,public.databasechangeloglock,should have remarks,"id, locked, lockgranted, lockedby"
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,aff68759-2b21-4e36-ab28-4a3a7efa0cd3,schemacrawler.tools.linter.LinterTableWithNoPrimaryKey,HIGH,public.demo_gdpr,no primary key,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,bb94c4ae-2095-4e15-b5d8-931aebab8101,schemacrawler.tools.linter.LinterTableWithNoSurrogatePrimaryKey,HIGH,public.demo_gdpr,primary key may not be a surrogate,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,0f4f438e-c108-4755-b224-6b333ace0f5a,schemacrawler.tools.linter.LinterTableAllNullableColumns,MEDIUM,public.demo_gdpr,no non-nullable data columns,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,29bd603a-5be0-4351-98b4-8060f32001bb,schemacrawler.tools.linter.LinterTableWithNoIndexes,MEDIUM,public.demo_gdpr,no indexes,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,1085da59-4eca-4815-86f8-d2e3c0561c0f,schemacrawler.tools.linter.LinterTableWithSingleColumn,MEDIUM,public.demo_gdpr,single column,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,d46eb611-d0db-4c7a-adf6-53e9d19dcaab,schemacrawler.tools.linter.LinterTableEmpty,LOW,public.demo_gdpr,empty table,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,9cef2b7e-8a8e-4595-94a8-2e2fd47e60b0,schemacrawler.tools.linter.LinterTableWithNoPrimaryKey,HIGH,public.test_xml,no primary key,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,b82fcf18-7a14-4c6a-9ac5-b872c9ad86a6,schemacrawler.tools.linter.LinterTableWithNoSurrogatePrimaryKey,HIGH,public.test_xml,primary key may not be a surrogate,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,1d122629-8b6a-4f89-ae37-f00fc7f2ab4c,schemacrawler.tools.linter.LinterTableWithNoIndexes,MEDIUM,public.test_xml,no indexes,
"",,244a0a50-7e83-4f95-b4bc-26e2341cc6c4,6dfb10d8-da4a-4d4d-bd29-3a42972cdaa3,schemacrawler.tools.linter.LinterTableWithQuotedNames,MEDIUM,public.test_xml,"spaces in name, or reserved word",content
